Prediction_Certainty_Threshold,Precision,Cumulative Percent of Records,True Positives,False Positives,Negatives,net_gain,net_gain_per_batter_tested
0.4,0.5399813240281123,0.7112520230850168,109870.0,93600.0,82603.0,-3866.5,-0.019002801395783163
0.41000000000000003,0.5456465833945628,0.6850838771921852,106938.0,89046.0,90089.0,-3557.7,-0.018153012490815575
0.42000000000000004,0.5522903135918376,0.6523230084628748,103064.0,83548.0,99461.0,-3201.6000000000004,-0.01715645296122436
0.43000000000000005,0.5590882768004228,0.6217329143260636,99440.0,78421.0,108212.0,-2870.1000000000004,-0.01613675847993658
0.44000000000000006,0.5654399134056521,0.5942119668755877,96118.0,73870.0,116085.0,-2581.0999999999995,-0.015184012989152172
0.45000000000000007,0.5715114055541163,0.5666875238138517,92650.0,69464.0,123959.0,-2313.9000000000005,-0.014273289166882568
0.4600000000000001,0.5781907433380085,0.5383520989397811,89046.0,64962.0,132065.0,-2043.9000000000005,-0.013271388499298742
0.4700000000000001,0.5843222964370094,0.5134039213767115,85820.0,61051.0,139202.0,-1814.1000000000004,-0.0123516555344486
0.4800000000000001,0.59084721592014,0.4853411541809258,82035.0,56808.0,147230.0,-1579.0500000000002,-0.011372917611978998
0.4900000000000001,0.5980608973132638,0.4568029838537716,78154.0,52525.0,155394.0,-1344.7999999999997,-0.010290865403010429
0.5000000000000001,0.6071052977520704,0.42545783768478673,73892.0,47820.0,164361.0,-1087.3999999999996,-0.008934205337189428
0.5100000000000001,0.6134542955804709,0.4018799397356619,70527.0,44440.0,171106.0,-917.6499999999996,-0.007981855662929358
0.5200000000000001,0.6203144340372074,0.3784278837918993,67154.0,41104.0,177815.0,-752.7000000000003,-0.006952834894418891
0.5300000000000001,0.6274822920850763,0.35680752814840966,64049.0,38024.0,184000.0,-599.9499999999998,-0.0058776561872385434
0.5400000000000001,0.6360672633006973,0.33239417910812974,60483.0,34606.0,190984.0,-436.4500000000003,-0.004589910504895416
0.5500000000000002,0.6449329275166272,0.3100956748801879,57212.0,31498.0,197363.0,-289.1999999999998,-0.003260060872505916
0.5600000000000002,0.6508806774258769,0.29392148157987646,54728.0,29355.0,201990.0,-199.0999999999999,-0.0023678983861184773
0.5700000000000002,0.6561307356382247,0.27935876507045404,52436.0,27481.0,206156.0,-126.30000000000018,-0.0015803896542663036
0.5800000000000002,0.6637056349195684,0.26011192947254724,49387.0,25024.0,211662.0,-33.04999999999973,-0.00044415476206474485
0.5900000000000002,0.6711629181874577,0.24230528571378634,46523.0,22794.0,216756.0,46.75,0.0006744377281186433
0.6000000000000002,0.6802187984890993,0.22303048522579902,43400.0,20403.0,222270.0,129.69999999999982,0.002032819773364886
0.6100000000000002,0.6859566101243043,0.20978561416142033,41167.0,18847.0,226059.0,173.64999999999986,0.002893491518645647
0.6200000000000002,0.6932709039700052,0.1948558584696913,38645.0,17098.0,230330.0,222.44999999999982,0.003990635595500777
0.6300000000000002,0.7002035252102454,0.18205842564660069,36468.0,15614.0,233991.0,262.0,0.005030528781536808
0.6400000000000002,0.7068537709293354,0.16764602042136098,33900.0,14059.0,238114.0,289.0999999999999,0.006028065639400319
0.6500000000000002,0.7139372663444881,0.15334547475644328,31319.0,12549.0,242205.0,311.04999999999995,0.007090589951673201
0.6600000000000003,0.7212973452199183,0.1419427908261178,29289.0,11317.0,245467.0,332.75,0.008194601782987736
0.6700000000000003,0.7297413330471182,0.13027444044002753,27196.0,10072.0,248805.0,352.60000000000014,0.009461199957067729
