Prediction_Certainty_Threshold,Precision,Cumulative Percent of Records,True Positives,False Positives,Negatives,net_gain,net_gain_per_batter_tested
0.4,0.5403320509229915,0.7114372904818002,109970.0,93553.0,82550.0,-3856.800000000001,-0.01895019236155128
0.41000000000000003,0.5462343481463295,0.683405983787355,106791.0,88713.0,90569.0,-3531.750000000001,-0.01806484777805058
0.42000000000000004,0.553329549956634,0.6529172623770856,103352.0,83430.0,99291.0,-3175.3999999999996,-0.01700056750650491
0.43000000000000005,0.5591105503511573,0.626140880125003,100149.0,78973.0,106951.0,-2889.8499999999995,-0.0161334174473264
0.44000000000000006,0.5663259899445419,0.5937575374117795,96195.0,73663.0,116215.0,-2556.55,-0.015051101508318714
0.45000000000000007,0.5720934230561422,0.5693371971489795,93178.0,69694.0,123201.0,-2310.5,-0.014185986541578663
0.4600000000000001,0.5788871951219512,0.541176552837912,89621.0,65195.0,131257.0,-2038.4499999999998,-0.013166920731707317
0.4700000000000001,0.5846929112554112,0.5167911686877126,86441.0,61399.0,138233.0,-1817.8500000000004,-0.012296063311688313
0.4800000000000001,0.5909626298318877,0.48968270336592407,82785.0,57300.0,145988.0,-1590.75,-0.011355605525216833
0.4900000000000001,0.5977046301062896,0.4617422825642406,78952.0,53140.0,153981.0,-1366.3999999999996,-0.010344305484056564
0.5000000000000001,0.6060761097305463,0.4304425793416366,74631.0,48507.0,162935.0,-1119.1499999999996,-0.009088583540418065
0.5100000000000001,0.6135021097046414,0.4059453356311151,71246.0,44884.0,169943.0,-926.1000000000004,-0.007974683544303801
0.5200000000000001,0.6204063749383866,0.3829581959849409,67968.0,41586.0,176519.0,-760.2000000000003,-0.00693904375924202
0.5300000000000001,0.6269522577655939,0.3621383353200057,64951.0,38647.0,182475.0,-617.1500000000001,-0.005957161335160911
0.5400000000000001,0.634562608092294,0.3375397188829425,61274.0,35287.0,189512.0,-465.0,-0.0048156087861559015
0.5500000000000002,0.6435782606291812,0.3161256043037966,58202.0,32233.0,195638.0,-313.1999999999998,-0.003463260905622821
0.5600000000000002,0.6497053344424787,0.29835391665763633,55453.0,29898.0,200722.0,-217.1500000000001,-0.002544199833628195
0.5700000000000002,0.655766539085628,0.28221118385866545,52942.0,27791.0,205340.0,-132.0,-0.0016350191371558099
0.5800000000000002,0.66332005312085,0.2632195278827432,49948.0,25352.0,210773.0,-37.80000000000018,-0.0005019920318725124
0.5900000000000002,0.6702460977554974,0.24544784023658298,47062.0,23154.0,215857.0,37.69999999999982,0.0005369146633245958
0.6000000000000002,0.6768457554880005,0.22882620869498344,44307.0,21154.0,220612.0,99.94999999999982,0.0015268633232000705
0.6100000000000002,0.6829785855444326,0.21579806552872868,42163.0,19571.0,224339.0,151.04999999999995,0.0024467878316648843
0.6200000000000002,0.6893202199441467,0.20152548475389148,39740.0,17911.0,228422.0,195.89999999999986,0.003398032991621999
0.6300000000000002,0.6964112692852351,0.1876024651050606,37375.0,16293.0,232405.0,239.44999999999982,0.004461690392785269
0.6400000000000002,0.7044066139936467,0.17166247775917337,34592.0,14516.0,236965.0,278.0,0.005660992099046998
0.6500000000000002,0.7103601522451763,0.15888601860364313,32288.0,13165.0,240620.0,297.9000000000001,0.0065540228367764524
0.6600000000000003,0.7181243414120126,0.14596274377519025,29986.0,11770.0,244317.0,322.3000000000002,0.0077186512118019015
0.6700000000000003,0.7257462199357585,0.1338574419815921,27791.0,10502.0,247780.0,339.35000000000014,0.008861932990363778
0.6800000000000003,0.73052074631022,0.125527400348862,26233.0,9677.0,250163.0,343.95000000000005,0.009578111946533
0.6900000000000003,0.7381817072054201,0.11454069415848403,24188.0,8579.0,253306.0,351.5,0.010727256080813014
0.7000000000000003,0.7451207793498791,0.105494052217441,22487.0,7692.0,255894.0,355.1500000000001,0.01176811690248186
0.7100000000000003,0.751050005384643,0.09737724287157473,20922.0,6935.0,258216.0,352.60000000000014,0.012657500807696455
0.7200000000000003,0.76038170716914,0.08644996207261783,18805.0,5926.0,261342.0,347.65,0.014057256075370991
0.7300000000000003,0.7657160653112071,0.07857085429243585,17211.0,5266.0,263596.0,333.95000000000005,0.014857409796681053
0.7400000000000003,0.7722122258425327,0.07188025434067528,15879.0,4684.0,265510.0,325.55,0.015831833876379906
0.7500000000000003,0.7788607320771064,0.06455694875084332,14384.0,4084.0,267605.0,310.8,0.01682910981156595
0.7600000000000003,0.7848936546279385,0.05933100991704914,13322.0,3651.0,269100.0,301.0,0.017734048194190773
0.7700000000000004,0.7912621359223301,0.05400719396797321,12225.0,3225.0,270623.0,288.75,0.018689320388349515
0.7800000000000004,0.8001030776027095,0.047477392134175546,10867.0,2715.0,272491.0,271.85,0.02001546164040642
0.7900000000000004,0.8050970873786408,0.043205755174378566,9951.0,2409.0,273713.0,256.65,0.020764563106796113
0.8000000000000004,0.8109170704946512,0.038231500351308935,8869.0,2068.0,275136.0,236.65000000000003,0.02163756057419768
0.8100000000000004,0.8179372197309417,0.035078458994732116,8208.0,1827.0,276038.0,227.70000000000002,0.022690582959641256
0.8200000000000004,0.8237539535390992,0.032051259643517564,7553.0,1616.0,276904.0,216.05,0.023563093030864873
0.8300000000000004,0.8297110397629044,0.0283074599839901,6719.0,1379.0,277975.0,198.05000000000004,0.024456655964435667
0.8400000000000004,0.833427922814983,0.02463706816092396,5874.0,1174.0,279025.0,176.29999999999998,0.025014188422247445
0.8500000000000004,0.8429492218204685,0.022235583225260685,5362.0,999.0,279712.0,168.20000000000002,0.026442383273070275
