Prediction_Certainty_Threshold,Precision,Cumulative Percent of Records,True Positives,False Positives,Negatives,net_gain,net_gain_per_batter_tested
0.4,0.5559658422639073,0.6389942427282547,101630.0,81169.0,103274.0,-3035.4000000000005,-0.0166051236604139
0.41000000000000003,0.5634920634920635,0.6073764388809849,97909.0,75845.0,112319.0,-2689.05,-0.015476190476190477
0.42000000000000004,0.5706861211172968,0.576419305561867,94105.0,70793.0,121175.0,-2374.05,-0.014397081832405487
0.43000000000000005,0.5781586911594397,0.5463325794465049,90361.0,65930.0,129782.0,-2074.95,-0.013276196326084034
0.44000000000000006,0.5861481921850511,0.5174343611595642,86764.0,61260.0,138049.0,-1787.8000000000002,-0.01207777117224234
0.45000000000000007,0.5933314742118397,0.48886473033106936,82978.0,56873.0,146222.0,-1538.3999999999996,-0.011000278868224037
0.4600000000000001,0.6012649577841219,0.46038598539533615,79189.0,52515.0,154369.0,-1292.0499999999997,-0.009810256332381702
0.4700000000000001,0.6082225007074423,0.432354678700891,75228.0,48457.0,162388.0,-1084.2999999999997,-0.008766624893883653
0.4800000000000001,0.6156352072255307,0.40560626133888905,71434.0,44599.0,170040.0,-888.2000000000003,-0.007654718916170402
0.4900000000000001,0.6227895495131732,0.3809202546203242,67866.0,41105.0,177102.0,-717.1999999999998,-0.006581567573024014
0.5000000000000001,0.6302555687657827,0.35575884477039077,64143.0,37630.0,184300.0,-555.8499999999999,-0.005461664685132598
0.5100000000000001,0.6371162761227916,0.33102389949418504,60333.0,34364.0,191376.0,-419.75,-0.004432558581581254
0.5200000000000001,0.644830720290843,0.30768370311074444,56758.0,31262.0,198053.0,-288.3000000000002,-0.0032753919563735536
0.5300000000000001,0.6528741845522562,0.2845322697353473,53142.0,28255.0,204676.0,-168.39999999999964,-0.0020688723171615616
0.5400000000000001,0.6610873662693462,0.2633523611106256,49805.0,25533.0,210735.0,-63.05000000000018,-0.0008368950595980804
0.5500000000000002,0.6698274992434178,0.242563960947031,46480.0,22911.0,216682.0,32.90000000000009,0.00047412488651266143
0.5600000000000002,0.6774760910190173,0.2225970294295512,43141.0,20538.0,222394.0,103.25,0.0016214136528525888
0.5700000000000002,0.6875128963477544,0.2032907684402233,39983.0,18173.0,227917.0,181.8499999999999,0.003126934452163146
0.5800000000000002,0.6973352777409518,0.184571770142586,36820.0,15981.0,233272.0,242.89999999999986,0.004600291661142779
0.5900000000000002,0.7065008361204014,0.16723004268141348,33799.0,14041.0,238233.0,285.8499999999999,0.005975125418060199
0.6000000000000002,0.7168838408473277,0.15049655157949196,30864.0,12189.0,243020.0,324.29999999999995,0.007532576127099156
0.6100000000000002,0.7274539758162658,0.13500400247489278,28095.0,10526.0,247452.0,352.14999999999986,0.009118096372439861
0.6200000000000002,0.7358588930402293,0.12069296997619489,25407.0,9120.0,251546.0,358.35000000000014,0.010378833956034412
0.6300000000000002,0.7440948708809901,0.10788505031932409,22965.0,7898.0,255210.0,358.44999999999993,0.011614230632148526
0.6400000000000002,0.7545803620405924,0.09558748990642249,20634.0,6711.0,258728.0,360.6,0.013187054306088866
0.6500000000000002,0.7652972209529348,0.08414984986349638,18423.0,5650.0,262000.0,356.1500000000001,0.014794583142940227
0.6600000000000003,0.7774500475737393,0.07347774868652407,16342.0,4678.0,265053.0,349.3,0.016617507136060895
0.6700000000000003,0.7890919007362966,0.06409203245325494,14468.0,3867.0,267738.0,336.70000000000005,0.018363785110444508
0.6800000000000003,0.7983515792122814,0.055559245367441175,12689.0,3205.0,270179.0,313.95000000000005,0.019752736881842207
0.6900000000000003,0.809732894255397,0.04776752786876077,11065.0,2600.0,272408.0,293.25,0.02145993413830955
0.7000000000000003,0.8201345755693582,0.04052112572665019,9507.0,2085.0,274481.0,266.85,0.023020186335403727
0.7100000000000003,0.8318467464017839,0.03448770069178147,8207.0,1659.0,276207.0,244.45000000000002,0.024777011960267586
0.7200000000000003,0.8430324383428502,0.028772376281578478,6939.0,1292.0,277842.0,217.75000000000003,0.026454865751427532
0.7300000000000003,0.8530901722391084,0.024151178195775204,5894.0,1015.0,279164.0,193.2,0.02796352583586626
0.7400000000000003,0.8659457603844833,0.020365431201126986,5045.0,781.0,280247.0,174.14999999999998,0.0298918640576725
0.7500000000000003,0.8732821341956346,0.01729628451479168,4321.0,627.0,281125.0,153.35000000000002,0.030992320129345195
0.7600000000000003,0.8827669902912622,0.014401918391459522,3637.0,483.0,281953.0,133.55,0.032415048543689325
0.7700000000000004,0.8933759442184777,0.012031893957136814,3075.0,367.0,282631.0,117.05,0.034006391632771645
0.7800000000000004,0.8978178039487357,0.010091829707801855,2592.0,295.0,283186.0,100.1,0.034672670592310356
0.7900000000000004,0.8996763754045307,0.008641151034875713,2224.0,248.0,283601.0,86.4,0.03495145631067961
0.8000000000000004,0.9070217917675545,0.007218437252030076,1873.0,192.0,284008.0,74.45,0.03605326876513317
0.8100000000000004,0.9095100864553314,0.0060648855362092895,1578.0,157.0,284338.0,63.2,0.03642651296829971
0.8200000000000004,0.9123307198859587,0.004904342597868376,1280.0,123.0,284670.0,51.7,0.0368496079828938
0.8300000000000004,0.9138840070298769,0.0039780056139516835,1040.0,98.0,284935.0,42.2,0.03708260105448155
0.8400000000000004,0.9296254256526674,0.003079633520115495,819.0,62.0,285192.0,34.75,0.03944381384790011
0.8500000000000004,0.9396551724137931,0.0024329454370038417,654.0,42.0,285377.0,28.500000000000004,0.04094827586206897
0.8600000000000004,0.9412811387900356,0.001964533528155401,529.0,33.0,285511.0,23.150000000000002,0.04119217081850534
